catchment,date,category,value,cumulative_rate,weekly_rate
California,2020-03-07,age_category,0-4 yr,0.0,0.0
California,2020-03-07,age_category,18-49 yr,0.2,0.2
California,2020-03-07,age_category,5-17 yr,0.0,0.0
California,2020-03-07,age_category,50-64 yr,0.0,0.0
California,2020-03-07,age_category,65+ yr,0.5,0.5
California,2020-03-07,race,American Indian/Alaska Native,0.0,0.0
California,2020-03-07,race,Asian/Pacific Islander,0.1,0.1
California,2020-03-07,race,Black,0.0,0.0
California,2020-03-07,race,Hispanic/Latino,0.4,0.4
California,2020-03-07,race,White,0.2,0.2
California,2020-03-07,sex,Female,0.3,0.3
California,2020-03-07,sex,Male,0.1,0.1
California,2020-03-14,age_category,0-4 yr,0.0,0.0
California,2020-03-14,age_category,18-49 yr,0.5,0.3
California,2020-03-14,age_category,5-17 yr,0.0,0.0
California,2020-03-14,age_category,50-64 yr,2.0,2.0
California,2020-03-14,age_category,65+ yr,2.1,1.6
California,2020-03-14,race,American Indian/Alaska Native,0.0,0.0
California,2020-03-14,race,Asian/Pacific Islander,1.2,1.1
California,2020-03-14,race,Black,0.3,0.3
California,2020-03-14,race,Hispanic/Latino,1.4,1.0
California,2020-03-14,race,White,0.6,0.4
California,2020-03-14,sex,Female,1.0,0.7
California,2020-03-14,sex,Male,0.9,0.8
California,2020-03-21,age_category,0-4 yr,0.0,0.0
California,2020-03-21,age_category,18-49 yr,1.8,1.3
California,2020-03-21,age_category,5-17 yr,0.0,0.0
California,2020-03-21,age_category,50-64 yr,4.7,2.7
California,2020-03-21,age_category,65+ yr,9.2,7.0
California,2020-03-21,race,American Indian/Alaska Native,8.2,8.2
California,2020-03-21,race,Asian/Pacific Islander,2.9,1.7
California,2020-03-21,race,Black,3.8,3.5
California,2020-03-21,race,Hispanic/Latino,3.8,2.5
California,2020-03-21,race,White,2.1,1.5
California,2020-03-21,sex,Female,2.6,1.6
California,2020-03-21,sex,Male,3.7,2.8
California,2020-03-28,age_category,0-4 yr,0.5,0.5
California,2020-03-28,age_category,18-49 yr,3.9,2.1
California,2020-03-28,age_category,5-17 yr,0.0,0.0
California,2020-03-28,age_category,50-64 yr,11.6,6.9
California,2020-03-28,age_category,65+ yr,17.8,8.6
California,2020-03-28,race,American Indian/Alaska Native,16.5,8.2
California,2020-03-28,race,Asian/Pacific Islander,5.6,2.7
California,2020-03-28,race,Black,9.0,5.2
California,2020-03-28,race,Hispanic/Latino,9.0,5.2
California,2020-03-28,race,White,4.1,2.0
California,2020-03-28,sex,Female,5.1,2.6
California,2020-03-28,sex,Male,8.4,4.7
California,2020-04-04,age_category,0-4 yr,0.5,0.0
California,2020-04-04,age_category,18-49 yr,6.0,2.1
California,2020-04-04,age_category,5-17 yr,0.0,0.0
California,2020-04-04,age_category,50-64 yr,17.9,6.3
California,2020-04-04,age_category,65+ yr,27.8,10.0
California,2020-04-04,race,American Indian/Alaska Native,24.7,8.2
