GeoFips,catchment,gdp_2019
0,United States,21433226
1000,Alabama,228142.6
2000,Alaska,54385.6
4000,Arizona,370119.1
5000,Arkansas,130954.1
6000,California,3132800.6
8000,Colorado,392986
9000,Connecticut,287822.2
10000,Delaware,77082.4
11000,District of Columbia,143389.3
12000,Florida,1106500.1
13000,Georgia,625713.6
15000,Hawaii,95744.3
16000,Idaho,83665.5
17000,Illinois,885583
18000,Indiana,379684.1
19000,Iowa,194658.1
20000,Kansas,176493.1
21000,Kentucky,215398.9
22000,Louisiana,256918.5
23000,Maine,67717.1
24000,Maryland,426747.4
25000,Massachusetts,596593.1
26000,Michigan,536888.3
27000,Minnesota,383777
28000,Mississippi,115971.3
29000,Missouri,328400.6
30000,Montana,52934.6
31000,Nebraska,130011.8
32000,Nevada,178199.4
33000,New Hampshire,87634.1
34000,New Jersey,634783.6
35000,New Mexico,105143.4
36000,New York,1772260.7
37000,North Carolina,591600.9
38000,North Dakota,57180.9
39000,Ohio,695361.6
40000,Oklahoma,202036.1
41000,Oregon,253623.2
42000,Pennsylvania,808737.5
44000,Rhode Island,61883.8
45000,South Carolina,247543.8
46000,South Dakota,54940.9
47000,Tennessee,376582.4
48000,Texas,1843802.7
49000,Utah,192519.2
50000,Vermont,34013.4
51000,Virginia,556905.2
53000,Washington,612996.5
54000,West Virginia,78863.9
55000,Wisconsin,349416.5
56000,Wyoming,40420.1
91000,New England,1135663.7
92000,Mideast,3863001
93000,Great Lakes,2846933.4
94000,Plains,1325462.4
95000,Southeast,4531095.2
96000,Southwest,2521101.2
97000,Rocky Mountain,762525.5
98000,Far West,4327749.6
