catchment,network,year,mmwr_year,mmwr_week,age_category,sex,race,date,cumulative_rate,weekly_rate,Confirmed,Deaths,Recovered,hospitalization_ratio,recovery_per_confirmed
Michigan,IHSP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,115.50000000000001,113.8,78.0,0.0,0.0,14540.948192307693,0.0
Georgia,EIP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,268.2,205.6,278.0,4.0,0.0,7920.789551079136,0.0
Connecticut,EIP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,122.6,102.5,67.0,0.0,0.0,5441.688283582089,0.0
Ohio,IHSP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,34.6,28.300000000000004,88.0,0.0,0.0,3760.432285227273,0.0
Tennessee,EIP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,72.10000000000001,54.3,131.0,0.0,0.0,2854.6189786259542,0.0
Maryland,EIP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,49.400000000000006,40.8,105.0,0.0,0.0,2353.111634285714,0.0
Colorado,EIP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,176.9,142.5,375.0,2.0,0.0,2206.93322,0.0
Georgia,EIP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,619.4000000000001,351.40000000000003,2301.0,67.0,0.0,1635.593208952629,0.0
Connecticut,EIP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,582.0999999999999,459.6,1040.0,17.0,0.0,1571.9230361538462,0.0
Utah,IHSP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,30.3,26.599999999999998,57.0,0.0,0.0,1516.6101999999996,0.0
California,EIP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,80.10000000000001,60.1,1590.0,24.0,28.0,1488.0638288050316,0.01761006289308176
Minnesota,EIP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,23.100000000000005,20.599999999999998,87.0,0.0,0.0,1339.5545425287355,0.0
Michigan,IHSP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,497.49999999999994,382.09999999999997,2910.0,20.0,0.0,1308.6668953608246,0.0
Maryland,EIP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,236.20000000000002,186.69999999999996,879.0,7.0,6.0,1286.255100568828,0.006825938566552901
Colorado,EIP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,632.0,455.19999999999993,2125.0,23.0,0.0,1244.0817359058822,0.0
Tennessee,EIP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,309.7,237.69999999999996,1468.0,3.0,0.0,1115.122916757493,0.0
Oregon,EIP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,51.300000000000004,40.1,156.0,1.0,0.0,1090.284812179487,0.0
Ohio,IHSP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,114.0,78.80000000000001,1099.0,8.0,0.0,838.4217466787991,0.0
Iowa,IHSP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,23.5,23.5,108.0,0.0,0.0,688.3674398148148,0.0
Oregon,EIP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,153.29999999999998,101.89999999999998,650.0,20.0,0.0,664.9377896923075,0.0
California,EIP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,170.10000000000002,89.99999999999999,7145.0,127.0,12.0,495.88901609517137,0.0016794961511546536
New York,EIP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,71.3,56.599999999999994,2399.0,5.0,0.0,456.21572388495196,0.0
Minnesota,EIP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,78.79999999999998,55.7,700.0,2.0,0.0,450.1627848571429,0.0
Connecticut,EIP,2020.0,2020.0,14.0,Overall,Overall,Overall,2020-04-04,1452.6000000000001,870.0999999999999,7728.0,156.0,0.0,400.48536757246376,0.0
Maryland,EIP,2020.0,2020.0,14.0,Overall,Overall,Overall,2020-04-04,521.5,285.50000000000006,4656.0,35.0,0.0,371.33407882302413,0.0
New Mexico,EIP,2020.0,2020.0,13.0,Overall,Overall,Overall,2020-03-28,55.29999999999999,39.199999999999996,241.0,0.0,0.0,342.60458423236514,0.0
Colorado,EIP,2020.0,2020.0,14.0,Overall,Overall,Overall,2020-04-04,1165.3,533.5,9358.0,155.0,0.0,331.0983208484719,0.0
New Mexico,EIP,2020.0,2020.0,12.0,Overall,Overall,Overall,2020-03-21,16.299999999999997,5.9,41.0,0.0,0.0,303.10444146341473,0.0
Georgia,EIP,2020.0,2020.0,14.0,Overall,Overall,Overall,2020-04-04,937.6999999999999,318.3,11587.0,358.0,0.0,294.20889023043065,0.0
Tennessee,EIP,2020.0,2020.0,14.0,Overall,Overall,Overall,2020-04-04,621.8000000000001,311.90000000000003,7948.0,31.0,0.0,270.2571118017112,0.0
